1.134	 0.4097231   0.4501625
1.135	 0.4084059   0.4488734
1.136	 0.4070751   0.4475697
1.137	 0.4057521   0.4462736
1.138	 0.4044617   0.4450109
1.139	 0.4031784   0.4437560
1.14	 0.4019898   0.4425995
1.141	 0.4008075   0.4414491
1.142	 0.3997812   0.4404622
1.143	 0.3987600   0.4394793
1.144	 0.3979089   0.4386749
1.145	 0.3970610   0.4378735
1.146	 0.3964852   0.4373558
1.147	 0.3959107   0.4368400
1.148	 0.3954851   0.4364800
1.149	 0.3950606   0.4361202
1.15	 0.3944695   0.4355860
1.151	 0.3938800   0.4350533
1.152	 0.3930871   0.4343066
1.153	 0.3922970   0.4335627
1.154	 0.3916972   0.4330172
1.155	 0.3910991   0.4324733
1.156	 0.3905106   0.4319386
1.157	 0.3899240   0.4314050
1.158	 0.3894518   0.4309913
1.159	 0.3889810   0.4305781
1.16	 0.3887054   0.4303695
1.161	 0.3884302   0.4301607
1.162	 0.3882718   0.4300743
1.163	 0.3881135   0.4299880
1.164	 0.3873903   0.4293081
1.165	 0.3866695   0.4286305
1.166	 0.3859600   0.4279646
1.167	 0.3852527   0.4273009
1.168	 0.3845654   0.4266579
1.169	 0.3838803   0.4260169
1.17	 0.3832229   0.4254050
1.171	 0.3825672   0.4247954
1.172	 0.3819443   0.4242194
1.173	 0.3813230   0.4236456
1.174	 0.3810103   0.4233963
1.175	 0.3806977   0.4231478
1.176	 0.3804239   0.4229393
1.177	 0.3801501   0.4227315
1.178	 0.3799104   0.4225595
1.179	 0.3796709   0.4223878
1.18	 0.3794554   0.4222413
1.181	 0.3792401   0.4220950
1.182	 0.3790386   0.4219632
1.183	 0.3788374   0.4218316
1.184	 0.3787952   0.4218661
1.185	 0.3787529   0.4219011
1.186	 0.3787049   0.4219296
1.187	 0.3786571   0.4219581
1.188	 0.3786025   0.4219788
1.189	 0.3785480   0.4219996
1.19	 0.3784908   0.4220169
1.191	 0.3784339   0.4220337
1.192	 0.3783785   0.4220514
1.193	 0.3783232   0.4220691
1.194	 0.3782721   0.4220907
1.195	 0.3782211   0.4221123
1.196	 0.3781798   0.4221433
1.197	 0.3781384   0.4221744
1.198	 0.3781107   0.4222199
1.199	 0.3780829   0.4222653
1.2	 0.3780738   0.4223304
1.201	 0.3780647   0.4223956
1.202	 0.3780824   0.4224890
1.203	 0.3780998   0.4225830
1.204	 0.3782025   0.4227670
1.205	 0.3783053   0.4229510
1.206	 0.3784518   0.4231828
1.207	 0.3785986   0.4234141
1.208	 0.3787980   0.4237026
1.209	 0.3789976   0.4239913
1.21	 0.3792509   0.4243376
1.211	 0.3795045   0.4246841
1.212	 0.3797930   0.4250684
1.213	 0.3800819   0.4254531
1.214	 0.3805011   0.4259762
1.215	 0.3809208   0.4265006
1.216	 0.3813323   0.4270156
1.217	 0.3817442   0.4275320
1.218	 0.3821253   0.4280159
1.219	 0.3825070   0.4285005
1.22	 0.3828438   0.4289378
1.221	 0.3831808   0.4293762
1.222	 0.3834762   0.4297698
