0.652	 0.0338512	 0.00688776                0.0338512	 0.00688776            0.043474	 0.0281754  
0.653	 0.033892	 0.0065933                 0.033892	 0.0065933             0.0430783	 0.0271146  
0.654	 0.0339347	 0.00630153                0.0339347	 0.00630153            0.0424678	 0.0256366  
0.655	 0.033987	 0.00599703                0.033987	 0.00599703            0.0419231	 0.0242391  
0.656	 0.0340578	 0.00566781                0.0340578	 0.00566781            0.0413504	 0.022711   
0.657	 0.0341575	 0.00530545                0.0341575	 0.00530545            0.0408753	 0.0212695  
0.658	 0.0342895	 0.00491909                0.0342895	 0.00491909            0.0403247	 0.0195664  
0.659	 0.0344449	 0.004519                  0.0344449	 0.004519              0.0398076	 0.0178435  
0.66	 0.0346502	 0.00410824        0.0346502	 0.00410824            0.0393647	 0.0161252          
0.661	 0.0348849	 0.00370109                0.0348849	 0.00370109            0.0390416	 0.0145738  
0.662	 0.0351664	 0.0033142                 0.0351664	 0.0033142             0.0391459	 0.0138592  
0.663	 0.0354843	 0.00295544                0.0354843	 0.00295544            0.039292	 0.0131745  
0.664	 0.0358269	 0.00262947                0.0358269	 0.00262947            0.039467	 0.0125219  
0.665	 0.0361961	 0.00234531                0.0361961	 0.00234531            0.0396262	 0.0117999  
0.666	 0.0365776	 0.00209917                0.0365776	 0.00209917            0.0399302	 0.0114065  
0.667	 0.0369714	 0.00189281                0.0369714	 0.00189281            0.0402403	 0.0110266  
0.668	 0.0373764	 0.00172476                0.0373764	 0.00172476            0.0405563	 0.01066    
0.669	 0.0377656	 0.00159013                0.0377656	 0.00159013            0.0408532	 0.0103112  
0.67	 0.0381502	 0.00148511        0.0381502	 0.00148511            0.0410709	 0.00981033         
0.671	 0.0385162	 0.00140541                0.0385162	 0.00140541            0.0413092	 0.00941811 
0.672	 0.0388752	 0.00134719                0.0388752	 0.00134719            0.0415424	 0.0090444  
0.673	 0.0392392	 0.00130771                0.0392392	 0.00130771            0.0417522	 0.00861372 
0.674	 0.0395948	 0.00128474                0.0395948	 0.00128474            0.0420769	 0.00848489 
0.675	 0.0399416	 0.00127641                0.0399416	 0.00127641            0.04242	 0.00843021         
0.676	 0.0402926	 0.00128312                0.0402926	 0.00128312            0.0427339	 0.00830625 
0.677	 0.0406222	 0.00130681                0.0406222	 0.00130681            0.0430528	 0.0082569  
0.678	 0.0409313	 0.00135055                0.0409313	 0.00135055            0.0435303	 0.00863415 
0.679	 0.0411955	 0.00142153                0.0411955	 0.00142153            0.0439699	 0.00903877 
0.68	 0.0413787	 0.00153112        0.0413787	 0.00153112            0.0443342	 0.00947979         
0.681	 0.0414716	 0.0016922                 0.0414716	 0.0016922             0.0445728	 0.00987926 
0.682	 0.0414153	 0.00192634                0.0414153	 0.00192634            0.0449109	 0.0108673  
0.683	 0.0412185	 0.00225756                0.0412185	 0.00225756            0.0450979	 0.0118963  
0.684	 0.0408712	 0.00273045                0.0408712	 0.00273045            0.0451007	 0.0129644  
